word,frequency
target,19.0
@bigdumbidiotman,19.0
sweet,19.0
react,19.0
worst,19.0
certainly,19.0
idiot,19.0
@timspector,19.0
season,19.0
ignorant,19.0
|,19.0
you'll,19.0
continue,19.0
street,19.0
@one_angry_chef,19.0
honest,19.0
chance,19.0
@cotherhajat,19.0
@shellysteiner33,19.0
x,19.0
pick,19.0
@worldresources,19.0
choice,19.0
moving,19.0
@sainsburys,19.0
@naomia281,19.0
ugh,19.0
daily,19.0
fr,19.0
hearing,19.0
k,19.0
@thereallrickk,19.0
@sophieattwoodw1,19.0
process,19.0
8,19.0
avoid,19.0
calls,19.0
@sainsburysnews,19.0
pillow,19.0
sent,19.0
reactions,19.0
beyond,19.0
yep,19.0
order,19.0
local,19.0
cuts,19.0
biden,18.0
living,18.0
absolute,18.0
writing,18.0
email,18.0
jus,18.0
caught,18.0
curious,18.0
le,18.0
tweeting,18.0
sit,18.0
rich,18.0
respond,18.0
message,18.0
bullets,18.0
shopping,18.0
@bstewart27,18.0
failed,18.0
service,18.0
options,18.0
evil,18.0
v,18.0
aggressive,18.0
fo,18.0
@mtgreenee,18.0
noticed,18.0
emoji,18.0
room,18.0
throwing,18.0
ended,18.0
boss,18.0
forgive,18.0
@death_andpraxis,18.0
members,18.0
ugly,18.0
war,18.0
male,18.0
fault,18.0
inside,18.0
together,18.0
@notpk6,18.0
allah,18.0
reasons,18.0
private,18.0
short,18.0
bryant,18.0
protest,18.0
@somebaldguy69,18.0
@dianewojnar,18.0
bed,18.0
fail,18.0
sky,18.0
25,18.0
judge,18.0
aim,18.0
favourite,18.0
snow,18.0
month,18.0
ben,18.0
mask,17.0
fired,17.0
excessive,17.0
@suehartson1,17.0
screaming,17.0
train,17.0
poc,17.0
pepper,17.0
breaking,17.0
respect,17.0
hates,17.0
laws,17.0
along,17.0
appreciate,17.0
straight,17.0
@columbuspolice,17.0
voting,17.0
road,17.0
taught,17.0
sitting,17.0
enjoy,17.0
basically,17.0
qasim,17.0
slow,17.0
@angry_birdu,17.0
//,17.0
muhammad,17.0
mouth,17.0
brown,17.0
feet,17.0
/,17.0
line,17.0
send,17.0
english,17.0
property,17.0
assume,17.0
murdering,17.0
general,17.0
anxious,17.0
li,17.0
including,17.0
following,17.0
bigger,17.0
mustafi,17.0
education,17.0
tough,17.0
teen,17.0
accountable,17.0
majority,17.0
here's,17.0
dying,17.0
vaccine,17.0
al,17.0
pulled,17.0
brought,17.0
faces,17.0
tl,17.0
ho,17.0
effective,17.0
art,17.0
exhausted,17.0
grocery,17.0
somehow,17.0
ignore,17.0
met,16.0
youll,16.0
@honestlyalie,16.0
hurting,16.0
enforcement,16.0
@soulscarred71,16.0
makhiabryant,16.0
faced,16.0
hurts,16.0
president,16.0
amount,16.0
murderer,16.0
negative,16.0
yelling,16.0
eating,16.0
fighting,16.0
@d_anthony36,16.0
wearing,16.0
husband,16.0
vote,16.0
mid,16.0
ang,16.0
missing,16.0
protests,16.0
wear,16.0
level,16.0
block,16.0
justify,16.0
maxine,16.0
arms,16.0
boys,16.0
wi,16.0
court,16.0
touch,16.0
possibly,16.0
starts,16.0
shootings,16.0
hateful,16.0
narrative,16.0
fully,16.0
reaction,16.0
stan,16.0
fights,16.0
criminal,16.0
minute,16.0
cares,16.0
biggest,16.0
blood,16.0
@,16.0
da,16.0
:),16.0
future,16.0
@totalplug,16.0
broken,16.0
se,16.0
class,16.0
followers,16.0
streets,16.0
main,16.0
allow,16.0
waters,16.0
countries,16.0
changed,16.0
personal,16.0
james,16.0
common,16.0
fuckin,16.0
nonsense,16.0
innocent,16.0
hospital,15.0
ohio,15.0
characters,15.0
walked,15.0
you'd,15.0
spot,15.0
@mzkarmad,15.0
fall,15.0
bin,15.0
dare,15.0
catch,15.0
tf,15.0
congress,15.0
spent,15.0
teenager,15.0
till,15.0
lawyer,15.0
wit,15.0
dick,15.0
legal,15.0
charge,15.0
claim,15.0
spend,15.0
sadly,15.0
earlier,15.0
pe,15.0
south,15.0
chelsea,15.0
massive,15.0
=,15.0
ada,15.0
@smitchesto,15.0
unfortunately,15.0
',15.0
awful,15.0
republican,15.0
30,15.0
beginning,15.0
ab,15.0
sister,15.0
lead,15.0
7,15.0
standing,15.0
action,15.0
swinging,15.0
gay,15.0
@breenewsome,15.0
nope,15.0
btw,15.0
history,15.0
everyday,15.0
&lt,15.0
pandemic,15.0
decide,15.0
20,15.0
step,15.0
deep,15.0
paid,15.0
proud,15.0
@natsechobbyist,15.0
bill,15.0
drink,15.0
piece,15.0
legit,14.0
@walshfreedom,14.0
series,14.0
turns,14.0
pimply,14.0
bullet,14.0
0,14.0
chased,14.0
events,14.0
gives,14.0
2018,14.0
missed,14.0
suck,14.0
town,14.0
current,14.0
aware,14.0
names,14.0
@cskian000,14.0
attempting,14.0
boyfriend,14.0
space,14.0
statement,14.0
@kendradrake94,14.0
april,14.0
constantly,14.0
filled,14.0
barely,14.0
@angry_voice,14.0
wanting,14.0
admit,14.0
@chris_blue2020,14.0
brings,14.0
wound,14.0
miserable,14.0
typical,14.0
horrible,14.0
across,14.0
wrath,14.0
plan,14.0
ffs,14.0
played,14.0
chill,14.0
whose,14.0
bored,14.0
chief,14.0
govt,14.0
points,14.0
abused,14.0
eye,14.0
supporters,14.0
rude,14.0
dropped,14.0
@kexican,14.0
mess,14.0
tells,14.0
facebook,14.0
vision,14.0
sake,14.0
busy,14.0
worry,14.0
@mistermike92660,14.0
deserved,14.0
hour,14.0
60+yowf,14.0
star,14.0
acting,14.0
answers,14.0
pr,14.0
exact,14.0
don,14.0
drama,14.0
vibes,14.0
college,14.0
became,14.0
hits,14.0
ah,14.0
arguing,13.0
drive,13.0
upon,13.0
convicted,13.0
mention,13.0
shitty,13.0
